Title,Authors,Year,Citation_Count,Venue,Link,Abstract,Relevance_Score,Relevance_Explanation,Key_Topics,Confidence
The negative impacts of AI tools on students in academic and real-life performance,JY Basha,2024.0,26,JY Basha,https://nsfjournals.com/article-files/pdf/WyWmemNe8hyG6vgiQoPO-1723214664.pdf,… (2022) Artifcial intelligence in education: Addressing ethical challenges in K‑12 settings this … while utilizing AI applications among the K12 students in the educational contexts. To …,0.9,"The paper directly addresses AI applications in K-12 education, focusing on ethical challenges and impacts on student performance, aligning precisely with the keyword's scope.",AI in K-12 education; ethical challenges of AI tools; student academic performance; real-life impacts of AI; educational technology applications,0.95
Development of an artificial intelligence curriculum design for children in Taiwan and its impact on learning outcomes,XZ Li; X Kang,2024.0,15,"HG Zhao, XZ Li, X Kang",https://www.nature.com/articles/s41599-024-03839-z,"… This work provides valuable experience and guidance for the future integration of AI technology in children’s education, offering practical guidelines for teachers and researchers on …",0.9,"The paper directly focuses on developing an AI curriculum for children, explicitly addressing K12 education and AI integration in educational contexts.",AI curriculum design; children's education; learning outcomes; teacher guidelines; technology integration,0.95
Data Driven Approaches to Integrating AI in K-12 Education Using Social Media Analysis,H Kalva; H Zhuang,,0,"PI Team, H Kalva, H Zhuang, N Romance",https://stelar.edc.org/sites/default/files/2024-09/Rapid%20Project%20Brief.pdf,"… Despite this growing adoption, opinions on AI tools in education are mixed. Our teacher-AI teaming designs leverage Pea’s ideas of intelligence distributed (Pea, 1993) ""across minds, …",0.9,"The paper directly addresses the integration of AI in K-12 education through data-driven methods and teacher-AI teaming, aligning perfectly with all three keywords.",AI in K-12 education; teacher-AI collaboration; social media analysis; data-driven educational approaches; distributed intelligence,0.95
Examining Learning Opportunities for Integrating AI Education in English Language Art Classrooms,C Tatar; S Jiang; J Chao; K Wiedemann,2022.0,1,"C Tatar, S Jiang, J Chao, K Wiedemann…",https://repository.isls.org/handle/1/8737,… This study contributes to the K-12 AI education on integrating an accessible text mining learning environment into ELA classrooms to engage high school students in developing an …,0.9,"The paper directly focuses on integrating AI education into K-12 English Language Arts classrooms, aligning with all three keywords through its examination of AI tools, educational context, and K-12 application.",K-12 AI education; text mining in ELA; high school student engagement; AI learning environments; curriculum integration,0.95
Large language models in education: Vision and opportunities,,2023.0,179,"W Gan, Z Qi, J Wu, JCW Lin",https://ieeexplore.ieee.org/abstract/document/10386291/,"… LLMs allows for their application across a wide range of educational contexts, from K-12 … We believe that AI-driven education is one of the most innovative and forward-looking …",0.9,"The paper explicitly addresses K-12 education and AI-driven education through the application of large language models, demonstrating direct thematic alignment with the keyword.",Large language models; K-12 education; AI-driven education; Educational applications; Innovation in education,0.95
Evidence and promises of AI predictions to understand student approaches to math learning in Abu Dhabi K12 public schools,X Miao; A Nadaf,2021.0,4,"X Miao, PK Mishra, A Nadaf",https://knepublishing.com/index.php/gespr/article/view/8458?utm_source=researcher_app&utm_medium=referral&utm_campaign=RESR_MRKT_Researcher_inbound,"… The main challenge with this model is to have measurable quality data that serve pedagogical purposes in K12 education. On the other hand, the main limitations of this study are …",0.9,"The paper directly addresses AI applications in K12 education, focusing on predictive models for math learning, aligning thematically and methodologically with the keywords.",AI predictions; K12 education; math learning; pedagogical data quality; student approaches,0.95
Systematic Review of the Ethical Use of Artificial Intelligence (AI) Tools in Education,E Küçük; F Cincil,2025.0,0,"E Küçük, F Cincil, Y Karal",https://dergipark.org.tr/en/pub/akukeg/issue/91391/1584990,"… Additionally, researchers have proposed teacher well-being as an ethical principle when it comes to the use of AI in K12-education. Another code within the scope of do no harm is …",0.9,"The paper directly addresses AI in K12 education through a systematic review of ethical principles, including teacher well-being, demonstrating strong thematic and domain alignment.",AI ethics in education; K12 education applications; teacher well-being; systematic review methodology; do no harm principles,0.95
Exploring the Impact of AI Integration in Education: A Mixed-Methods Study,K Roy; K Swargiary,2024.0,6,"K Roy, K Swargiary",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4857648,"… Population and Sample Calculation: The target population consisted of students and teachers from K-12 schools and higher education institutions in Guwahati, Assam, India. The …",0.9,"The paper directly addresses AI integration in K-12 education through a mixed-methods study involving K-12 students and teachers, aligning perfectly with the keyword's focus on AI applications in education.",AI integration in education; K-12 student outcomes; teacher perspectives on AI; mixed-methods research in educational technology; educational impact assessment,0.95
AI-Driven myChatCT: Enhancing Computational Thinking and Coding Skills in High School Education,KY Lin; PH Cheng; LW Chen,2025.0,1,"KY Lin, PH Cheng, LW Chen",https://ieeexplore.ieee.org/abstract/document/11016419/,"… for CT through programming in K-12 education based on a systematic literature review. Their model identifies key areas and relationships within CT education, providing a framework …",0.9,"The paper directly addresses K-12 education through its focus on high school computational thinking and coding, explicitly incorporates AI in its 'AI-Driven myChatCT' approach, and centers on educational enhancement, aligning perfectly with all three keyword components.",K-12 education; AI in education; computational thinking; coding skills; educational framework,0.95
A corpus linguistic analysis of K–12 educator blogging on AI,,2025.0,0,KE Hecht Weber,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/m900p368z,"… current practices in the implementation of AI in K–12 education. Ultimately, this study aspired to enhance educational practices involving AI, benefiting educators and students alike. …",0.9,"The paper directly focuses on AI implementation in K-12 education through analysis of educator blogs, aligning perfectly with all three keywords.",AI in K-12 education; educator perspectives on AI; implementation practices; educational blogging analysis; AI integration strategies,0.95
Learning with AI: The K-12 Teacher's Guide to a New Era of Human Learning,,2024.0,0,JM Watson,"https://books.google.com/books?hl=en&lr=&id=RL8KEQAAQBAJ&oi=fnd&pg=PA2012&dq=K12+education,+AI,+education&ots=OcOFFVbosV&sig=obFzWmmmpIe4J9Np5T0PFseY8NQ","… forever alter education, work, and even how we think about thinking (both human and AI “… Rapid change is again unfolding, and we can use what AI can already do to plan for a future …",0.9,"The paper directly addresses the integration of AI in K-12 education, focusing on teacher guidance and future planning, which aligns perfectly with the keyword's scope.",AI in K-12 classrooms; teacher adaptation to AI; future of education with AI; human-AI collaborative learning; educational transformation,0.95
Which educational approaches predict students' generative AI confidence and responsibility?☆,T Consoli; D Petko,2025.0,0,"T Consoli, D Petko",https://www.researchgate.net/profile/Tessa-Consoli/publication/392116201_Which_educational_approaches_predict_students'_generative_AI_confidence_and_responsibility/links/684a94fa4c64e82b927f8096/Which-educational-approaches-predict-students-generative-AI-confidence-and-responsibility.pdf,… artificial intelligence Media literacy education AI education Digital … Digital self-efficacy Upper secondary education … with and about AI (as a computer science topic) in K–12 education: (a) …,0.9,"The paper directly investigates AI education approaches within K-12 settings, explicitly addressing generative AI confidence and responsibility in upper secondary education, which aligns perfectly with the keyword's focus on K12 education and AI.",K-12 AI education; generative AI literacy; digital self-efficacy; media literacy education; upper secondary education,0.95
Reimagining education with AI,M Pagani; S Miller; J Wind,2024.0,0,"M Pagani, S Miller, J Wind",https://ink.library.smu.edu.sg/sis_research/9312/,"… Our premise is that effective AI implementation in education and related conceptual, … reports on using AI in education with an emphasis on K-12 education. The first report …",0.9,"The paper directly focuses on AI implementation in education with explicit emphasis on K-12 education, aligning perfectly with all three keyword components.",AI implementation in education; K-12 education applications; conceptual frameworks for AI in education; educational technology integration; AI impact on teaching and learning,0.95
The Urgent Case for AI Literacy in the 21st Century,,2025.0,0,S Guvercin,https://int-er.com/article/the-urgent-case-for-ai-literacy-in-the-21st-century-16377,"… This editorial explores the evolving concept of AI literacy, emphasizing its cognitive, … AI literacy into K–12 education, teacher preparation, and interdisciplinary curricula. It argues that AI …",0.9,"The paper directly addresses the integration of AI literacy into K-12 education, explicitly linking AI and education within this specific context.",AI literacy; K-12 education; teacher preparation; interdisciplinary curricula; cognitive aspects of AI,0.95
Six Key Principles in Designing Artificial Intelligence (AI) Curriculum for Middle Schools,TKF Chiu,2020.0,1,TKF Chiu,https://www.researchgate.net/profile/Thomas-Kf-Chiu/publication/346702108_Six_Key_Principles_in_Designing_Artificial_Intelligence_AI_Curriculum_for_Middle_Schools/links/605996f3a6fdccbfeafcad05/Six-Key-Principles-in-Designing-Artificial-Intelligence-AI-Curriculum-for-Middle-Schools.pdf,"… Finally, the analysis further showed that impact and ethics of AI are very important in K12 education. Therefore, the two suggested areas in the analysis are (1) Global and local impact: …",0.9,"The paper directly addresses AI curriculum design for K12 education, explicitly mentioning K12 and AI in the context of educational principles and implementation.",AI curriculum design; K12 education; AI ethics; educational impact; middle school education,0.95
"Promoting Technological Innovation Education in K-12: Cultivating Artificial Intelligence, Metaverse, and Innovative Thinking",,2025.0,0,"FY CHUNG, PC IU",https://www.eduhk.hk/metaaces2025/doc/MetaACESproceedings20250616a.pdf#page=108,"… how to integrate artificial intelligence and metaverse education at the K-12 education … 本文 探討 在 K-12 教育 階段 如何 透過 跨 學科 課程 與 實踐 式 學習, 整合 人工 智 能 與 元 宇宙 教育, …",0.9,"The paper directly addresses the integration of artificial intelligence in K-12 education through interdisciplinary curricula and practical learning, aligning perfectly with all three keywords.",K-12 education; artificial intelligence integration; interdisciplinary curriculum; metaverse education; innovative thinking cultivation,0.95
Promoting artificial intelligence and data literacy within teacher education,M Kandlhofer; V Masiulionyte-Dagiene,2023.0,2,"V Dagiene, M Kandlhofer, V Masiulionyte-Dagiene…",https://computingeducation.de/pub/2023_Dagiene_Kandlhofer_Olari_Romeike-ISSEP.pdf,… Efforts to integrate data and AI literacy into K-12 education … integrate AI and Data Literacy (AI&DL) into school education … that only 11 countries approved K-12 AI curricula by 2021 [6]. …,0.9,"The paper directly addresses the integration of AI literacy into K-12 education, explicitly mentioning K-12 AI curricula and teacher education, which aligns perfectly with the keyword focus.",K-12 AI education; AI literacy integration; teacher professional development; data literacy in schools; AI curriculum adoption,0.95
Unplugged Activities in the Context of AI,A Lindner; S Seegerer; R Romeike,2019.0,98,"A Lindner, S Seegerer, R Romeike",https://link.springer.com/chapter/10.1007/978-3-030-33759-9_10,"… of machine learning, AI is now increasingly discussed in educational contexts, for example … to eight lessons that serves to introduce artificial intelligence in K-12. The aim of the lessons …",0.9,"The paper directly addresses AI education through unplugged activities specifically designed for K-12 settings, aligning with all three keyword components.",K-12 AI education; unplugged activities; machine learning introduction; lesson design; AI literacy,0.95
Analysis of influencing factors on teachers' AI literacy under the SOR framework: An empirical study based on PLS-SEM and fsQCA,Y Ning,2025.0,3,"Y Ning, H Zheng, H Wu, Z Jin, H Chang…",https://link.springer.com/article/10.1007/s10639-025-13477-w,… of K-12 teachers toward adopting AI educational technologies (AI-EdTech). The findings indicated that enhancing teachers’ theoretical and practical knowledge of AI in educational …,0.9,"The paper directly focuses on K-12 teachers' AI literacy and adoption of AI educational technologies, aligning precisely with the keywords through its empirical study of AI integration in K-12 education.",K-12 teachers' AI literacy; AI educational technologies adoption; theoretical and practical AI knowledge in education; SOR framework application; PLS-SEM and fsQCA methodology,0.95
DIA4K12: Framework for Managing then Teaching-Learning of Artificial Intelligence at Early Ages,M Labanda-Jaramillo; L Chamba-Eras,2022.0,6,"M Labanda-Jaramillo, L Chamba-Eras…",https://link.springer.com/chapter/10.1007/978-3-030-96293-7_36,… all dimensions of educational management. On the One hand the AI4K12 working group composed of K-12 level teachers and AI experts proposes a list of five big ideas of …,0.9,"The paper directly addresses AI education in K-12 settings through a framework for teaching and managing AI learning, with explicit reference to the AI4K12 initiative and educational dimensions.",K-12 AI education; teaching-learning framework; AI curriculum development; educational management; early-age AI literacy,0.95
Effect of Artificial Intelligence Convergence Education Using ChatGPT on Computational Thinking of High School Students in Korea.,SW Kim,2024.0,4,"SJ Hong, Y Lee, SW Kim",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=20885334&AN=182563306&h=X1oysnLglAQHT%2FzQ4D2KvM5fBm2PkeGlDJR4AUpojcCk%2BMtLu3Fuk27lXqfFxJSoBN1OpKfWJW5cx247xHtNCw%3D%3D&crl=c,… discuss the content and methods of AI convergence education for K‒12 students [14]. The programs developed in this study aim to equip students with digital literacy skills that can …,0.9,"The paper directly addresses K12 education through its focus on high school students in Korea, explicitly incorporates AI via ChatGPT in educational methods, and centers on computational thinking as a core educational outcome.",K12 education; AI in education; ChatGPT; computational thinking; digital literacy,0.95
Deep learning goes to school: Toward a relational understanding of AI in education,C Perrotta; N Selwyn,2020.0,330,"C Perrotta, N Selwyn",https://www.tandfonline.com/doi/abs/10.1080/17439884.2020.1686017,… of AI and education. The key argument that we develop in this paper is that attempts to predict and automate aspects of educational performance through the application of AI … in the K-12 …,0.9,"The paper directly addresses the application of AI in K-12 education, focusing on predictive and automated aspects of educational performance, which aligns semantically and thematically with the keyword.",AI in education; K-12 educational performance; predictive analytics; automation in learning; relational understanding of AI,0.95
Developing a Curriculum Framework of Artificial Intelligence Teaching for Gifted Students,M Aydın; H Yurdugül,2024.0,2,"M Aydın, H Yurdugül",https://dergipark.org.tr/en/pub/kefdergi/article/1426429,"… On the basis of these studies, it offers some competency framework for K12 in AI education. Although such studies have created various skill sets and frameworks on AI education, a …",0.9,"The paper directly addresses K12 AI education by developing a curriculum framework and competency model specifically for this demographic, aligning perfectly with the keyword's focus.",K12 AI education; curriculum framework; competency model; gifted students; teaching strategies,0.95
Organizing State-Level Efforts for K-12 AI Education,C Gardner-McCune; D Touretzky,2023.0,0,"C Gardner-McCune, D Touretzky, B Cox, C Dungan…",https://ai4k12.org/wp-content/uploads/SIGCSE-2023-BOF_-Organizing-State-Level-Efforts-for-K-12-AI-Education.pdf,… the broader discussion of equity in K-12 AI and CS education … ● Integrate modules on equity-focused AI education within … for a K-12 scope and sequence of equity-focused CS and AI …,0.9,The paper directly addresses K-12 AI education through state-level organizational strategies and explicitly integrates AI within the K-12 educational scope and sequence.,K-12 AI education; equity in AI education; state-level educational organization; CS and AI integration; educational scope and sequence,0.95
AI robots promote South Korean preschoolers' AI literacy and computational thinking,B Lee; S Ku; K Ko,2025.0,1,"B Lee, S Ku, K Ko",https://onlinelibrary.wiley.com/doi/abs/10.1111/fare.13189,"… Globally, the necessity of AI education is being actively … AI, machine learning, and robotics concepts for K–12 … with using AI-based educational tools may affect how they use AI robots in …",0.9,"The paper directly addresses AI education using AI robots for K-12 students, specifically preschoolers, aligning with all three keywords through its focus on AI tools, educational applications, and the K-12 context.",AI literacy; computational thinking; K-12 AI education; AI-based educational tools; robotics in education,0.95
Supporting teachers and students: the role of AI in shaping the future of education,BK Wiederhold,2025.0,2,BK Wiederhold,https://www.liebertpub.com/doi/full/10.1089/cyber.2024.0598,"… In fall 2023, 18% of K-12 teachers reported using AI for teaching—primarily virtual learning platforms, adaptive learning systems, and chatbots—and another 15% had tried …",0.9,"The paper directly addresses AI applications in K-12 education, with explicit reference to teacher usage statistics and specific AI tools like adaptive learning systems in this context.",AI in K-12 teaching; adaptive learning systems; teacher AI adoption; virtual learning platforms; educational chatbots,0.95
A comparative study on artificial intelligence curricula,,2020.0,5,L Li,https://search.proquest.com/openview/b13c4d3058c533a76cba308137d8faa6/1?pq-origsite=gscholar&cbl=18750&diss=y,… This research is a comparative analysis of four K-12 AI curricula to recognize and interpret their … This study will form part of the data on AI educational practices useful to educational …,0.9,"The paper directly focuses on K-12 AI curricula, aligning with all three keywords through its comparative analysis of educational practices in artificial intelligence for K12 education.",K-12 AI curricula; comparative analysis; educational practices; artificial intelligence education; curriculum interpretation,0.95
Transforming education: The impact of artificial intelligence on learning and pedagogical practices,WAP Sumartono,2024.0,5,"WAP Sumartono, WAH Rafsanjani",,,0.9,"The paper directly addresses the intersection of AI and education, with its focus on pedagogical practices and learning transformation, inherently encompassing K12 education as a core application domain.",artificial intelligence in education; pedagogical practices; learning transformation; educational technology integration; AI-driven instructional methods,0.95
Reimagining education with AI,M Pagani; S Miller; J Wind,2024.0,0,"M Pagani, S Miller, J Wind",https://ink.library.smu.edu.sg/sis_research/9312/,"… Our premise is that effective AI implementation in education and related conceptual, … reports on using AI in education with an emphasis on K-12 education. The first report …",0.9,"The paper directly focuses on AI implementation in education with explicit emphasis on K-12 education, aligning perfectly with all three keywords.",AI in education; K-12 education systems; AI implementation strategies; educational technology integration; conceptual frameworks for AI,0.95
Which educational approaches predict students' generative AI confidence and responsibility?☆,T Consoli; D Petko,2025.0,0,"T Consoli, D Petko",https://www.researchgate.net/profile/Tessa-Consoli/publication/392116201_Which_educational_approaches_predict_students'_generative_AI_confidence_and_responsibility/links/684a94fa4c64e82b927f8096/Which-educational-approaches-predict-students-generative-AI-confidence-and-responsibility.pdf,… artificial intelligence Media literacy education AI education Digital … Digital self-efficacy Upper secondary education … with and about AI (as a computer science topic) in K–12 education: (a) …,0.9,"The paper directly investigates AI education approaches within K-12 settings, explicitly addressing generative AI confidence and responsibility in upper secondary education, which aligns perfectly with the keyword's focus.",K-12 AI education; generative AI literacy; digital self-efficacy; media literacy education; upper secondary education,0.95
Learning with AI: The K-12 Teacher's Guide to a New Era of Human Learning,,2024.0,0,JM Watson,"https://books.google.com/books?hl=en&lr=&id=RL8KEQAAQBAJ&oi=fnd&pg=PA2012&dq=K12+education,+AI,+education&ots=OcOFFVbosY&sig=10dvlOauCDs0B41H2XevWJ_uBD4","… forever alter education, work, and even how we think about thinking (both human and AI “… Rapid change is again unfolding, and we can use what AI can already do to plan for a future …",0.9,"The paper directly addresses the integration of AI in K-12 education, focusing on teacher guidance and the transformative impact of AI on learning processes and educational futures.",AI in K-12 classrooms; teacher adaptation to AI; future of education with AI; human-AI cognitive collaboration; educational planning for AI integration,0.95
A corpus linguistic analysis of K–12 educator blogging on AI,,2025.0,0,KE Hecht Weber,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/m900p368z,"… current practices in the implementation of AI in K–12 education. Ultimately, this study aspired to enhance educational practices involving AI, benefiting educators and students alike. …",0.9,"The paper directly focuses on AI implementation in K-12 education through analysis of educator blogs, aligning perfectly with all three keywords in scope, methodology, and application.",AI in K-12 education; educator perspectives on AI; implementation practices; corpus linguistic analysis; educational technology integration,0.95
"Secondary Students' Emerging Conceptions of AI: Understanding AI Applications, Models, Engines and Implications",R Whyte; S Sentance,2024.0,3,"R Whyte, D Kirby, S Sentance",https://dl.acm.org/doi/abs/10.1145/3689535.3689552,… K–12 computing education. Advocates argue that exposure to AI concepts is necessary for understanding how AI impacts (or will impact) daily life and for those interested in pursuing AI-…,0.9,"The paper directly addresses K-12 education and AI by examining secondary students' understanding of AI concepts, applications, and implications, aligning with both the educational context and AI focus of the keyword.",K-12 computing education; AI concepts and applications; student AI literacy; AI implications in daily life; AI education curriculum,0.95
Exploring teachers' perceptions of artificial intelligence as a tool to support their practice in Estonian K-12 education,IA Chounta; E Bardone,2022.0,464,"IA Chounta, E Bardone, A Raudsep…",https://link.springer.com/article/10.1007/s40593-021-00243-5,… teachers’ perceptions about Artificial Intelligence (AI) as a tool to support teaching in Estonian K-12 education. Estonia is promoting technological innovation in education. According to …,0.9,"The paper directly focuses on AI applications in K-12 education by examining teachers' perceptions of AI as a support tool within Estonian K-12 classrooms, aligning perfectly with all three keyword components.",K-12 education; Artificial Intelligence in teaching; Teacher perceptions; Educational technology integration; Estonian education innovation,0.95
ARIN-561: An educational game for learning artificial intelligence for high-school students,N Wang; E Greenwald,2022.0,7,"N Wang, E Greenwald, R Montgomery…",https://link.springer.com/chapter/10.1007/978-3-031-11647-6_108,"… AI education to K-12 students. In this paper, we discuss the design and evaluation of an educational game for high-school AI education … -561 to build AI knowledge, especially when …",0.9,"The paper directly focuses on AI education for high-school students (a subset of K-12) through an educational game, aligning perfectly with all three keyword components.",K-12 AI education; educational game design; high-school curriculum; AI knowledge acquisition; game-based learning,0.95
"AI literacy: Definition, teaching, evaluation and ethical issues",DTK Ng; JKL Leung; KWS Chu,2021.0,415,"DTK Ng, JKL Leung, KWS Chu…",https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/pra2.487,"… builder, to educate citizens to understand AI applications and how it can … AI literacy in K-12 education is at its starting point. It highlights how people comprehend AI concepts and apply AI…",0.9,"The paper directly addresses AI literacy in K-12 education, explicitly discussing teaching, evaluation, and ethical issues, making it highly relevant to the keyword.",AI literacy definition; K-12 AI education; teaching methods for AI; ethical considerations in AI education; AI application comprehension,0.95
A comparative analysis of contents related to artificial intelligence in national and international K-12 curriculum,,2020.0,81,E Lee,,,0.9,"The paper directly analyzes AI content in K-12 curricula, making it highly relevant to K12 education, AI, and education as a whole.",K-12 curriculum analysis; artificial intelligence education; comparative curriculum studies; educational content standards; AI literacy in schools,0.95
Policy implementation in the era of responsible artificial intelligence (AI) use in K-12 education,J Childs; S Koshy,2024.0,4,"SV White, J Childs, S Koshy, A Scott",https://dl.acm.org/doi/abs/10.1145/3653666.3656097,"… The disproportionate influence of AI biases on Black, Latine, and Native communities and … of new K-12 educational policies to ensure equitable access to AI education and equip …",0.9,"The paper directly addresses AI implementation and policy in K-12 education, focusing on equitable access and bias mitigation, which aligns perfectly with the keyword's scope.",AI policy implementation; equitable AI education access; AI bias in K-12; responsible AI use; K-12 educational equity,0.95
A digital game based learning approach for effective curriculum transaction for teaching-learning of artificial intelligence and machine learning,,2022.0,509,A Alam,https://ieeexplore.ieee.org/abstract/document/9760932/,"… AI teaching standards for K-12 students [15]. Furthermore, organizations like the AI4All and AI for K-12 … All of them are concerned with CS education in general and AI/ML education in …",0.9,"The paper directly addresses K-12 AI education through a digital game-based learning approach, explicitly referencing K-12 AI teaching standards and initiatives like AI4All, making it highly relevant to the keyword.",K-12 AI education; digital game-based learning; AI/ML teaching standards; curriculum transaction; CS education integration,0.95
Journal of Digital Learning and Education,,2024.0,48,"P Sasikala, R Ravichandran",http://journal.moripublishing.com/index.php/jdle/article/download/1234/342,"… Case Studies and Best Practices To understand the impact of artificial intelligence (AI) on K-12 education, it is essential to explore real-world examples that highlight its practical …",0.9,"The paper directly focuses on AI's impact in K-12 education through case studies and best practices, aligning perfectly with all three keyword components.",AI in K-12 education; case studies of AI implementation; best practices for AI integration; practical applications of AI; educational technology impact,0.95
Teacher support and student motivation to learn with Artificial Intelligence (AI) based chatbot,TKF Chiu; BL Moorhouse; CS Chai,2024.0,603,"TKF Chiu, BL Moorhouse, CS Chai…",https://www.tandfonline.com/doi/abs/10.1080/10494820.2023.2172044,"… field of AIEd in K-12 education by investigating the roles of AI technology in student classroom learning. More specifically, it explored the use of chatbots (an AI-based learning tool) and …",0.9,"The paper directly investigates AI-based chatbots in K-12 education, aligning perfectly with all three keywords through its focus on technology integration, pedagogical support, and student learning outcomes.",AI in education; K-12 classroom learning; chatbot technology; student motivation; teacher support systems,0.95
Artificial intelligence in African schools: Towards a contextualized approach,SS Oyelere; IT Sanusi; FJ Agbo,2022.0,52,"SS Oyelere, IT Sanusi, FJ Agbo…",https://ieeexplore.ieee.org/abstract/document/9766550/,"… A systematic literature review methodology was used in this paper to understand the trends of teaching AI at the K-12 educational level. Scientific databases such as IEEE, ACM, Web of …",0.9,"The paper directly focuses on AI in K-12 education through a systematic review of teaching trends, aligning perfectly with the keyword's scope and context.",K-12 education; artificial intelligence teaching; systematic literature review; educational trends; contextual implementation,0.95
A systematic review on prompt engineering in large language models for k-12 stem education,E Chen; X Fang; J Lin,2024.0,17,"E Chen, D Wang, L Xu, C Cao, X Fang, J Lin",https://arxiv.org/abs/2410.11123,"… potential drawbacks of integrating AI technologies into educational practices. By addressing … ethical, and accessible AI-driven tools that enhance STEM education and support educators …",0.9,"The paper directly addresses AI integration in K-12 STEM education through prompt engineering in large language models, aligning perfectly with the keyword's focus on AI applications in K-12 educational contexts.",prompt engineering; large language models; K-12 STEM education; AI integration; educational tools,0.95
Data-related practices for creating Artificial Intelligence systems in K-12,V Olari; R Romeike,2024.0,10,"V Olari, R Romeike",https://dl.acm.org/doi/abs/10.1145/3677619.3678115,"… in AI for K–12 education. The process model is comprehensively domain-embedded and aligned with K–12 education… relevant for K–12, it was evaluated by experts from the AI field and …",0.9,"The paper directly focuses on AI systems within K-12 education, with explicit alignment to the domain and expert evaluation in both AI and education contexts.",AI system development; K-12 education integration; data practices; domain-embedded process model; expert evaluation in AI,0.95
Empowering Educators in AI: Insights from Co-Designing an AI Microcredential with and for K-12 Educators,S Zhang,2025.0,0,"NM Hutchins, S Zhang, JR Barrett…",https://ojs.aaai.org/index.php/AAAI/article/view/35186,… This study contributes to AI education by providing a framework for designing teacher professional development programs that are responsive to the evolving educational landscape …,0.9,"The paper directly addresses K-12 education and AI through its focus on co-designing an AI microcredential for educators, aligning with professional development in AI education.",K-12 teacher professional development; AI education integration; co-design methodology; educational technology frameworks; curriculum adaptation for AI,0.95
Aspiring for equity: Perspectives from design of AI education,B Dalton,2022.0,9,"B Walsh, B Dalton, S Forsyth, E Haberl…",https://repository.isls.org/handle/1/8978,"… While there are increasing numbers of projects and initiatives to bring more AI education into K12 settings, the learning sciences’ understanding of how we can design AI curriculum for …",0.9,"The paper directly addresses AI education in K12 settings, focusing on curriculum design and equity, which aligns perfectly with the keyword's focus on K12 education and AI.",AI education; K12 curriculum design; equity in education; learning sciences; educational initiatives,0.95
The Fading of F (AI) th: Tracing the Technological Promises of a Wellbeing App in K-12 Education,K Sperling,2024.0,0,K Sperling,https://link.springer.com/chapter/10.1007/978-3-031-73538-7_10,"… be understood in an AI era? This paper goes beyond the recent trends of research into generative AI and AI chatbots, by exploring areas where AI in K-12 education, in conjunction with …",0.9,"The paper directly addresses AI applications in K-12 education, focusing on wellbeing technology beyond generative AI trends, with explicit thematic and domain alignment.",AI in K-12 education; wellbeing technology; technological promises; educational applications; AI ethics in schools,0.95
NAVIGATING THE AI FRONTIER IN EDUCATION: COMPARATIVE ANALYSIS OF K-12 AND HIGHER EDUCATION STUDENTS'EXPERIENCES AND PERCEPTIONS,,2024.0,0,"AT Jaksa, J Waliczek",https://library.iated.org/view/TAPPJAKSA2024NAV,… educational inequalities. The differing levels of engagement with AI between K-12 and higher education … and educators in K-12 settings and those in higher education. It aims to assess …,0.9,"The paper directly focuses on K-12 education and AI by comparing student experiences and perceptions in K-12 versus higher education contexts, with explicit methodological and thematic alignment to AI in education.",K-12 education; AI in education; student perceptions; educational inequalities; comparative analysis,0.95
A review of digital learning environments for teaching natural language processing in k-12 education,X Tian; KE Boyer,2023.0,8,"X Tian, KE Boyer",https://arxiv.org/abs/2310.01603,… Natural Language Processing (NLP) plays a significant role in our daily lives and has become an essential part of Artificial Intelligence (AI) education in K-12. As children grow up with …,0.9,"The paper directly focuses on AI (specifically NLP as a subfield) education within K-12 settings, aligning perfectly with all three keywords through its review of digital learning environments for teaching NLP.",Natural Language Processing (NLP); K-12 education; AI education; digital learning environments; teaching methods,0.95
How Can Video Generative AI Transform K-12 Education? Examining Teachers' Perspectives through TPACK and TAM,U Lee; Y Jeong; G Byun,2025.0,2,"U Lee, Y Jeong, S Kim, Y Son, G Byun, H Kim…",https://arxiv.org/abs/2503.08003,"… a tool-centric perspective to a context-driven analysis of AI in education, this study offers insights into how Video GenAI can be meaningfully integrated into K-12 learning environments. …",0.9,"The paper directly focuses on AI (specifically Video GenAI) in K-12 education, examining teacher perspectives and integration strategies within this specific educational context.",K-12 education; AI in education; Video generative AI; Teacher perspectives; Technology integration,0.95
The Fading of F (AI) th: Tracing the Technological Promises of a Wellbeing App in K-12 Education,K Sperling,2024.0,0,K Sperling,https://link.springer.com/chapter/10.1007/978-3-031-73538-7_10,"… be understood in an AI era? This paper goes beyond the recent trends of research into generative AI and AI chatbots, by exploring areas where AI in K-12 education, in conjunction with …",0.9,"The paper directly addresses AI in K-12 education, focusing on technological promises and wellbeing applications, aligning strongly with the keyword's core themes.",AI in K-12 education; technological promises; wellbeing applications; beyond generative AI trends; educational technology integration,0.95
